Algorithm , InputSize , HullPercent , AvgSolveTime
Graham , 1000 , Min , 3.4
Jarvis , 1000 , Min , 0.4
Graham , 1000 , 0.0 , 2.0
Jarvis , 1000 , 0.0 , 1.8
Graham , 1000 , 0.25 , 1.4
Jarvis , 1000 , 0.25 , 4.4
Graham , 1000 , 0.5 , 2.2
Jarvis , 1000 , 0.5 , 7.4
Graham , 1000 , 0.75 , 3.4
Jarvis , 1000 , 0.75 , 6.2
Graham , 1000 , 1.0 , 2.2
Jarvis , 1000 , 1.0 , 13.0
Graham , 10000 , Min , 18.4
Jarvis , 10000 , Min , 5.2
Graham , 10000 , 0.0 , 16.6
Jarvis , 10000 , 0.0 , 6.2
Graham , 10000 , 0.25 , 14.2
Jarvis , 10000 , 0.25 , 199.0
Graham , 10000 , 0.5 , 4.0
Jarvis , 10000 , 0.5 , 194.4
Graham , 10000 , 0.75 , 4.6
Jarvis , 10000 , 0.75 , 292.2
Graham , 10000 , 1.0 , 4.2
Jarvis , 10000 , 1.0 , 394.6
Graham , 100000 , Min , 48.2
Jarvis , 100000 , Min , 4.4
Graham , 100000 , 0.0 , 54.8
Jarvis , 100000 , 0.0 , 42.8
Graham , 100000 , 0.25 , 41.2
Jarvis , 100000 , 0.25 , 9502.4
Graham , 100000 , 0.5 , 47.4
Jarvis , 100000 , 0.5 , 19903.0
Graham , 100000 , 0.75 , 42.0
Jarvis , 100000 , 0.75 , 29935.2
Graham , 100000 , 1.0 , 70.2
Jarvis , 100000 , 1.0 , 37803.8
